cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr
w43_d,QP3WoPmp,2.56,2.56,5.12,0.1289,0.1291,0.0384,1.82,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.1,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_e,GrdQ7pmP,2.56,2.56,5.12,0.1289,0.1291,0.0384,1.82,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.12,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w35_o,LL95X8OM,2.97,2.13,5.1,0.3048,0.1564,0.0368,2.93,B,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_c,883G25GW,2.54,2.56,5.1,0.1261,0.1281,0.0386,1.8,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,27,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w51_h,LL9EG0bL,2.61,2.48,5.09,0.1475,0.1335,0.034,2.84,B,,GOOD,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 4), subindustry) + rank(volume/ts_mean(volume, 60))"
w57_c,ZY0gAMW8,3.15,1.94,5.09,0.4698,0.1784,0.0316,3.19,B,,AVERAGE,TOP3000,SUBINDUSTRY,2,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w43_g,om6Pkzak,2.53,2.55,5.08,0.1277,0.1296,0.0375,1.48,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,25,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))"
w102_h,rK5Mb8Za,3.1,1.96,5.06,0.3473,0.1383,0.0355,3.16,B,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(-news_open_gap/close, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry)"
w41_a,wpYNPJld,2.52,2.54,5.06,0.1226,0.1266,0.0389,1.78,B,,SPECTACULAR,TOP3000,SUBINDUSTRY,30,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w50_g,xAYVNz8N,2.56,2.5,5.06,0.1306,0.1243,0.0356,3.0,B,,GOOD,TOP3000,SUBINDUSTRY,18,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 75), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w32_d,0mRjO9dv,2.86,2.19,5.05,0.2104,0.1239,0.0391,2.15,B,,EXCELLENT,TOP3000,SUBINDUSTRY,8,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w56_b,d5OY1Xgv,2.65,2.39,5.04,0.1753,0.1426,0.0271,1.61,B,,GOOD,TOP2000,SUBINDUSTRY,10,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w56_f,O0rR8mjg,2.65,2.39,5.04,0.1753,0.1426,0.0271,1.61,B,,GOOD,TOP2000,SUBINDUSTRY,10,0.1,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w100_j,j23KlL3o,2.93,2.1,5.03,0.2689,0.1379,0.0355,2.7,B,,GOOD,TOP3000,SUBINDUSTRY,1,0.08,0,N,"trade_when(returns < 0, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)"
w48_c,pwPxlG7j,2.55,2.48,5.03,0.1286,0.1213,0.0302,2.76,B,,GOOD,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w62_h,ZY0dPjv1,3.12,1.9,5.02,0.4758,0.1772,0.0508,3.57,B,,GOOD,TOP3000,SECTOR,2,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w59_h,6XrZdlOK,3.12,1.89,5.01,0.4525,0.1653,0.0461,3.44,B,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w49_c,pwPxKKk3,2.52,2.48,5.0,0.1268,0.1226,0.0301,2.65,B,,GOOD,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
w50_f,Vk6ZGw35,2.54,2.46,5.0,0.1317,0.1235,0.0339,2.94,B,,GOOD,TOP3000,SUBINDUSTRY,18,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 50), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w60_e,LL9EMQv6,3.12,1.88,5.0,0.4691,0.171,0.0456,3.4,B,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w116_g,RRVxxkoo,2.78,2.21,4.99,0.2033,0.1282,0.0408,2.6,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_tstkc/assets, industry) + group_rank(fnd6_lifr/assets, industry) + group_rank(fnd6_cicurr/assets, industry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_delta(close, 2), industry)"
w116_c,P0ZLmLMp,2.79,2.19,4.98,0.1943,0.1196,0.0332,2.34,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))"
w42_c,kqV89LJd,2.49,2.49,4.98,0.1183,0.1247,0.039,1.74,C,,EXCELLENT,TOP3000,SUBINDUSTRY,35,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w42_f,N1QK8ezq,2.48,2.5,4.98,0.1215,0.1267,0.038,1.42,C,,EXCELLENT,TOP3000,SUBINDUSTRY,30,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 90))"
w59_g,j23oY0Mo,3.2,1.78,4.98,0.4599,0.1424,0.041,4.01,C,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w121_b,N1QZX9mq,2.86,2.11,4.97,0.2129,0.116,0.0297,2.73,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
w51_f,58Qrp1q5,2.59,2.38,4.97,0.1502,0.1271,0.0355,3.09,C,,GOOD,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 55), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w36_d,zqYrJaxX,2.48,2.48,4.96,0.0919,0.125,0.0324,1.42,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w118_g,E5vj5YdL,2.73,2.22,4.95,0.1897,0.1255,0.0403,2.38,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_tstkc/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_rank(volume, 250)), range=""0.1, 1, 0.1""))"
w41_e,le8g9an7,2.49,2.46,4.95,0.1119,0.1223,0.0385,1.73,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w40_e,78ZGmRV5,2.47,2.45,4.92,0.1152,0.1231,0.0392,1.71,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w41_f,vRkY66xQ,2.47,2.45,4.92,0.1152,0.1231,0.0392,1.71,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.04,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w32_j,XgWRG68l,2.85,2.06,4.91,0.2634,0.1375,0.0441,2.09,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(fnd6_xopr/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w83_g,YP5900Qq,2.75,2.16,4.91,0.1958,0.1209,0.0357,1.79,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
w106_f,3q9vKRdz,2.93,1.97,4.9,0.2633,0.1192,0.0356,2.39,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), industry) + rank(volume/ts_mean(volume, 60))"
w114_d,xAY7E9EJ,2.91,1.99,4.9,0.2428,0.1136,0.0319,2.7,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_tstkc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
w114_h,MP1v2gGn,2.86,2.04,4.9,0.2606,0.1324,0.0346,2.4,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, sector) + group_rank(fnd6_tfvce/assets, sector) + group_rank(ts_av_diff(cash/assets, 45), sector) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), sector) + group_rank(-ts_delta(close, 2), sector) + group_rank(volume/ts_mean(volume, 60), sector)"
w64_g,xAY2ww1n,3.15,1.75,4.9,0.4233,0.1311,0.0331,3.68,C,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_netdebt_mean/assets, subindustry) + group_rank(fnd6_txtubxintis/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w119_f,blRmGJ9r,2.86,2.02,4.88,0.2487,0.1235,0.0288,2.69,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(assets_curr/assets), range=""0.1, 1, 0.1""))"
w48_e,2rO9LxgJ,2.45,2.43,4.88,0.0831,0.1229,0.0297,1.74,C,,GOOD,TOP3000,SUBINDUSTRY,60,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w116_f,j23kkmdW,2.75,2.12,4.87,0.2076,0.1235,0.0323,2.15,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, sector) + group_rank(fnd6_tfvce/assets, sector) + group_rank(fnd6_lifr/assets, sector) + group_rank(ts_av_diff(cash/assets, 45), sector) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), sector) + group_rank(-ts_delta(close, 2), sector)"
w116_i,xAY77jLb,2.79,2.08,4.87,0.2094,0.1161,0.0315,2.07,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(ts_zscore(fnd6_tfvce/assets, 120), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_zscore(fnd6_cicurr/assets, 120), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
w43_f,j23VMQlj,2.47,2.4,4.87,0.1302,0.1225,0.0386,1.73,C,,EXCELLENT,TOP3000,SUBINDUSTRY,25,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 40))"
w56_c,GrdXOVGP,2.64,2.23,4.87,0.2,0.1423,0.028,1.63,C,,GOOD,TOP2000,SUBINDUSTRY,8,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w105_k,vRkX7z83,2.94,1.92,4.86,0.2819,0.1199,0.0349,2.45,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w37_k,blRxJWpR,2.55,2.31,4.86,0.1103,0.1024,0.0352,1.86,C,,EXCELLENT,TOP3000,SUBINDUSTRY,20,0.08,1,N,"group_rank(fnd6_newqv1300_ivstq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w112_h,mLgnglzE,2.88,1.97,4.85,0.2568,0.1207,0.0366,2.19,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))"
w37_g,RRV59RAd,2.43,2.42,4.85,0.1224,0.1237,0.0278,1.24,C,,EXCELLENT,TOP2000,SUBINDUSTRY,20,0.08,1,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w39_h,RRV5zJX0,2.52,2.33,4.85,0.114,0.1072,0.0505,1.35,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w105_i,xAYp7Ojn,2.87,1.97,4.84,0.2498,0.118,0.029,2.57,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w118_b,KPOoKzqk,2.83,2.01,4.84,0.2129,0.1078,0.0224,2.4,C,,EXCELLENT,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_cicurr/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))"
w41_b,883GYlNo,2.44,2.4,4.84,0.1111,0.1205,0.0394,1.68,C,,EXCELLENT,TOP3000,SUBINDUSTRY,50,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w106_d,xAYpLX0b,2.85,1.98,4.83,0.2298,0.1104,0.0363,2.61,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_xintopt/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry) + group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry)"
w49_b,ZY0gKrlj,2.45,2.38,4.83,0.1221,0.1177,0.0394,3.08,C,,GOOD,TOP3000,SUBINDUSTRY,20,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 90), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w92_b,RRVoK5ea,2.74,2.08,4.82,0.2399,0.1382,0.0381,2.38,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,0,N,"group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
